batch,state,step,energy_ewm
250,ground,767,-154.4994432334074
250,ground,768,-154.49981956941417
250,ground,769,-154.49997908558774
250,ground,770,-154.49972400704686
250,ground,771,-154.49937737355512
250,ground,772,-154.49987054926336
250,ground,773,-154.5002487447354
250,ground,774,-154.50085346520225
250,ground,775,-154.5000032084908
250,ground,776,-154.50003728959584
250,ground,777,-154.49962443236575
250,ground,778,-154.4995553305494
250,ground,779,-154.50039602334064
250,ground,780,-154.5005249689229
250,ground,781,-154.50050127029692
250,ground,782,-154.50034319319008
250,ground,783,-154.50072846497574
250,ground,784,-154.50136334813882
250,ground,785,-154.50115572466134
250,ground,786,-154.5008494619145
250,ground,787,-154.5010820931514
250,ground,788,-154.50138634055304
250,ground,789,-154.50172115587858
250,ground,790,-154.50129375951934
250,ground,791,-154.50103321469442
250,ground,792,-154.50035075731864
250,ground,793,-154.50053994617727
250,ground,794,-154.50098639024344
250,ground,795,-154.50015911223335
250,ground,796,-154.4998628322552
250,ground,797,-154.49986264351412
250,ground,798,-154.50039800723042
250,ground,799,-154.5007922235789
250,ground,800,-154.50055275006585
250,ground,801,-154.50053672461496
250,ground,802,-154.50101116254496
250,ground,803,-154.50108657256538
250,ground,804,-154.50205391134597
250,ground,805,-154.5019935040872
250,ground,806,-154.50157681606245
250,ground,807,-154.50172343730208
250,ground,808,-154.5022042463181
250,ground,809,-154.50299949658162
250,ground,810,-154.5029094927048
250,ground,811,-154.5027149153233
250,ground,812,-154.502724649277
250,ground,813,-154.50282364591638
250,ground,814,-154.5032490165954
250,ground,815,-154.5032521364144
250,ground,816,-154.503127450203
250,ground,817,-154.50316555878686
250,ground,818,-154.503769818112
250,ground,819,-154.50406643536763
250,ground,820,-154.50372393042883
250,ground,821,-154.50354738360772
250,ground,822,-154.50355835084747
250,ground,823,-154.50458262646205
250,ground,824,-154.50541276117332
250,ground,825,-154.50501897052243
250,ground,826,-154.50518113154425
250,ground,827,-154.50539198915865
250,ground,828,-154.5055742004405
250,ground,829,-154.5063735685361
250,ground,830,-154.50604098111447
250,ground,831,-154.50605928776358
250,ground,832,-154.50606088143255
250,ground,833,-154.50597086603895
250,ground,834,-154.5066369092018
250,ground,835,-154.50631782088828
250,ground,836,-154.50652191704788
250,ground,837,-154.50681010334162
250,ground,838,-154.50712180466806
250,ground,839,-154.5076259780462
250,ground,840,-154.50772449019055
250,ground,841,-154.50745932536637
250,ground,842,-154.50782400434494
250,ground,843,-154.50821762912938
250,ground,844,-154.50857109782254
250,ground,845,-154.50805764125226
250,ground,846,-154.50833091355258
250,ground,847,-154.5080563653904
250,ground,848,-154.50774328211753
250,ground,849,-154.50750246651492
250,ground,850,-154.50740711107187
250,ground,851,-154.50760306958603
250,ground,852,-154.5078277036746
250,ground,853,-154.50796089098708
250,ground,854,-154.50812295452428
250,ground,855,-154.50795269330294
250,ground,856,-154.50752363780452
250,ground,857,-154.50795790100526
250,ground,858,-154.50830087113857
250,ground,859,-154.50867218467573
250,ground,860,-154.50885939262685
250,ground,861,-154.50884612403502
250,ground,862,-154.50887419543466
250,ground,863,-154.5092439006397
250,ground,864,-154.50941896102026
250,ground,865,-154.50935425668052
250,ground,866,-154.50903030181357
250,ground,867,-154.50954727546008
250,ground,868,-154.5095535146819
250,ground,869,-154.50996148576033
250,ground,870,-154.50986824668445
250,ground,871,-154.50964463513927
